Viti Godina Year,"Muaji 
Mesec
Month","PERSHKRIMI I SEKTORIT
OPIS SEKTORA
SECTOR DESCRIPTION",,"Statusi i regjistrimit 
Status registracije Registration status",Komuna Opstina Municipality,"Nr Tatimp 
Poreski obveznik 
Number of Taxpayers","Nr Puns
Broj zaposlenih 
Number of  employees",Primar Primarna Primary,Sekondar Sekundarna Secondary,"Meshkuj
Muskarci 
Men (M).","Femra
Zenske
Women (F)","Pa Verif 
Neprovereno 
Unverified",M 15-24,F 15-24,M 25-34,F 25-34,M 35-44,F 35-44,M 45-54,F 45-54,M 55-64,F 55-64,M 65+,F 65+,"Mesat. Pages
Prosecna plata
Average Wage","Mesat. Meshk 
Prosecni M.
Average M.","Mesat. Fem.
Prosecni F. Average F."
2023,1,Arsimi,,Individual,LIPJAN,5,32,28,4,13,19,0,1,3,4,7,3,6,0,3,4,0,1,0,252.93,210.91,281.69
2023,1,Arsimi,,SH.P.K.,PODUJEVË,6,26,21,5,12,14,0,0,0,4,7,5,4,2,2,1,1,0,0,168.65,170.33,167.21
2023,1,Arsimi,,SH.P.K.,SUHAREKË,2,18,16,2,13,5,0,3,2,5,1,1,1,3,1,1,0,0,0,372.89,373.52,371.25
2023,1,Arsimi,,Individual,FUSHË KOSOVË,9,68,63,5,13,54,1,1,6,4,20,3,19,2,8,3,1,0,0,307.86,285.77,314.89
2023,1,Ndertimtaria,,Individual,DEÇAN,24,57,55,2,49,8,0,10,0,27,1,10,3,2,3,0,1,0,0,267.7,268.14,265.05
2023,1,Ndertimtaria,,Shoqëri akcionare,VUSHTRRI,1,20,18,2,12,8,0,4,0,2,1,3,3,2,2,1,2,0,0,538.89,542.9,532.88
2023,1,Ndertimtaria,,SH.P.K.,GRAÇANICË,18,186,166,20,139,46,1,21,2,28,23,35,12,32,7,20,2,3,0,775.62,850.74,544.29
2023,1,Person Fizik,,Person fizik,VITI,3,7,7,0,3,4,0,0,1,2,0,0,0,0,2,1,1,0,0,195.71,200,192.5
2023,1,Person Fizik,,Person fizik,ISTOG,6,27,27,0,14,13,0,3,5,3,5,5,2,3,1,0,0,0,0,242.66,260.46,223.49
2023,1,Mungon aktiviteti,,Kompani e huaj,PEJË,2,17,17,0,13,4,0,1,0,2,2,4,1,3,1,3,0,0,0,391.18,415.38,312.5
2023,1,Mungon aktiviteti,, Bashkësi Fetare,GJILAN,1,53,49,4,50,3,0,4,0,5,0,20,0,13,1,6,2,2,0,436.96,453.18,166.67
2023,1,Mungon aktiviteti,,OJQ,DRAGASH,4,10,5,5,9,1,0,0,1,4,0,3,0,0,0,2,0,0,0,718.81,786.88,106.14
2023,1,Mungon aktiviteti,,Parti Politike,PRIZREN,1,3,2,1,2,1,0,0,0,0,0,1,0,0,0,0,1,1,0,346.26,383.92,270.95
2023,1,Industria nxjerrese,,SH.P.K.,OBILIQ,1,2,2,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,300,300,300
2023,1,Industria nxjerrese,,Tjeter,PODUJEVË,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,170,,170
2023,1,Industria nxjerrese,,Individual,MALISHEVË,1,13,13,0,12,1,0,2,0,4,0,4,0,2,0,0,1,0,0,278.38,280.75,250
2023,1,Industria perpunuese,,SH.P.K.,ZVEÇAN,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,170,170,
2023,1,Industria perpunuese,,Individual,PARTESH,6,15,15,0,10,5,0,1,2,1,2,4,1,4,0,0,0,0,0,183.6,185,180.8
2023,1,Industria perpunuese,,Individual,PODUJEVË,80,257,250,7,202,55,0,46,11,63,12,46,19,35,10,11,3,1,0,228.54,235.77,201.67
2023,1,Industria perpunuese,,SH.P.K.,ZUBIN POTOK,2,27,25,2,2,25,0,0,0,1,2,0,4,0,3,0,15,1,1,174.7,170,175.08
2023,1,Industria perpunuese,,SH.P.K.,FUSHË KOSOVË,121,1165,"1,131",34,787,358,20,123,40,227,111,224,104,132,84,75,19,6,0,530.57,564.91,440.06
2023,1,Informimi dhe komunikimi,,OJQ,PEJË,1,7,6,1,3,4,0,0,0,0,0,0,3,3,0,0,1,0,0,1249.93,1228.17,1266.26
2023,1,Informimi dhe komunikimi,,Individual,GJAKOVË,10,39,39,0,25,14,0,4,4,8,5,6,4,5,1,2,0,0,0,409.33,461.15,316.8
2023,1,Informimi dhe komunikimi,,Individual,FUSHË KOSOVË,1,4,2,2,2,2,0,1,1,1,1,0,0,0,0,0,0,0,0,471.51,438.6,504.42
2023,1,Transporti dhe magazinimi,,SH.P.K.,GJAKOVË,21,145,140,5,115,30,0,8,2,27,10,21,9,28,6,28,3,3,0,243.34,243.27,243.6
2023,1,Transporti dhe magazinimi,,Ortakëria e përgj.,PODUJEVË,1,7,7,0,5,2,0,1,1,2,1,0,0,2,0,0,0,0,0,300,340,200
2023,1,Transporti dhe magazinimi,,Shoqëri akcionare,MALISHEVË,1,7,7,0,7,0,0,0,0,0,0,0,0,2,0,5,0,0,0,457.64,457.64,
2023,1,Aktivitetet e patundshmerise,,SH.P.K.,KAMENICË,1,2,2,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,235,235,
2023,1,Aktivitetet e patundshmerise,,SH.P.K.,SHTËRPCË,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,200,200,
2023,1,Aktivitetet e patundshmerise,,Individual,PRISHTINË,13,47,46,1,30,14,3,0,1,9,3,9,3,8,4,4,3,0,0,542.37,681.17,297.58
2023,1,Aktivitetet e tjera sherbyese,,OJQ,ISTOG,3,19,14,5,13,6,0,2,1,1,1,2,1,5,0,3,2,0,1,320.9,355.64,245.63
2023,1,Aktivitetet e tjera sherbyese,,OJQ,GJAKOVË,8,48,35,13,20,28,0,2,3,10,14,1,4,4,3,2,4,1,0,363.45,443.1,306.55
2023,1,Aktivitetet e tjera sherbyese,,SH.P.K.,GJAKOVË,11,38,33,5,9,29,0,0,1,3,16,3,5,1,5,2,2,0,0,351.47,355.7,350.15
2023,1,Aktivitetet e tjera sherbyese,,Individual,KAÇANIK,15,25,24,1,14,11,0,4,4,4,4,3,0,3,3,0,0,0,0,171.6,168.57,175.45
2023,1,Aktivitetet e tjera sherbyese,,SH.P.K.,MALISHEVË,1,2,2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,250,250,
2023,1,Akomodimi dhe sherbimi ushqimor,,Individual,PEJË,160,431,426,5,313,116,2,86,13,101,22,62,33,41,36,22,12,1,0,235.74,235.03,237.4
2023,1,Akomodimi dhe sherbimi ushqimor,,Individual,ZVEÇAN,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,200,200,
2023,1,"Artet, Argetimi dhe rekreacioni",,Individual,DEÇAN,2,3,3,0,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,215.8,215.8,
2023,1,"Artet, Argetimi dhe rekreacioni",,Individual,ISTOG,2,2,2,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,494.42,,494.42
2023,1,"Artet, Argetimi dhe rekreacioni",,OJQ,GJAKOVË,4,19,18,1,17,2,0,11,2,3,0,1,0,0,0,0,0,2,0,291.91,308.6,150
2023,1,"Artet, Argetimi dhe rekreacioni",,SH.P.K.,GLLOGOC,2,4,4,0,2,2,0,1,0,1,0,0,2,0,0,0,0,0,0,403.14,500,306.28
2023,1,"Artet, Argetimi dhe rekreacioni",,OJQ,PRISHTINË,2,19,19,0,17,2,0,5,0,4,1,5,1,1,0,1,0,1,0,658.22,665.94,592.68
2023,1,"Artet, Argetimi dhe rekreacioni",,Shoqëri akcionare,PRISHTINË,1,14,14,0,9,5,0,0,0,1,3,1,2,5,0,2,0,0,0,429.24,422.64,441.12
2023,1,Bujqesia;Pylltaria dhe Peshkimi,,Individual,GJILAN,14,23,19,4,11,12,0,0,0,2,4,3,0,1,3,4,5,1,0,211.74,250,176.67
2023,1,Bujqesia;Pylltaria dhe Peshkimi,,Individual,PARTESH,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,30,,30
2023,1,Bujqesia;Pylltaria dhe Peshkimi,,Individual,VUSHTRRI,18,26,23,3,10,16,0,2,1,2,5,5,2,1,5,0,3,0,0,218.52,254.11,203.27
2023,1,Bujqesia;Pylltaria dhe Peshkimi,,SH.P.K.,GRAÇANICË,4,23,23,0,16,7,0,2,2,3,3,4,0,5,1,2,1,0,0,616.13,754.01,340.36
2023,1,Bujqesia;Pylltaria dhe Peshkimi,,SH.P.K.,HANI I ELEZIT,1,2,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,225,300,150
2023,1,Aktivitetet financiare dhe te sigurimit,,OJQ,PEJË,1,256,253,3,173,83,0,3,7,57,42,77,23,23,6,13,4,0,1,1106.06,1200.57,909.05
2023,1,Aktivitetet financiare dhe te sigurimit,,Tjeter,PRISHTINË,1,13,8,5,8,5,0,0,0,1,2,6,1,1,2,0,0,0,0,1164.81,1105.61,1259.53
2023,1,Sherbimet administrative dhe mbeshtetese,,SH.P.K.,SUHAREKË,15,43,38,5,36,6,1,6,1,13,4,10,1,4,0,3,0,0,0,575.62,485.7,289.28
2023,1,Sherbimet administrative dhe mbeshtetese,,Individual,VUSHTRRI,10,14,13,1,9,5,0,0,0,4,1,3,2,1,1,1,1,0,0,207.52,202.5,215.54
2023,1,Sherbimet administrative dhe mbeshtetese,,Shoqëri akcionare,SKENDERAJ,1,39,36,3,22,17,0,2,1,5,1,8,3,5,8,2,4,0,0,285.9,318.18,244.12
2023,1,Sherbimet administrative dhe mbeshtetese,,SH.P.K.,HANI I ELEZIT,2,12,12,0,12,0,0,0,0,6,0,4,0,2,0,0,0,0,0,510.82,510.82,
2023,1,"Aktivitetet profesionale, shkencore dhe teknike",,SH.P.K.,GJILAN,108,410,381,29,283,125,2,20,14,114,70,90,23,35,10,20,8,4,0,522.93,545.14,476.45
2023,1,"Aktivitetet profesionale, shkencore dhe teknike",,Individual,SHTËRPCË,3,7,7,0,3,4,0,1,2,1,0,1,1,0,1,0,0,0,0,269.29,213.33,311.25
2023,1,"Aktivitetet profesionale, shkencore dhe teknike",,Projekt,PRISHTINË,1,2,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1261.37,2250,272.73
2023,1,"Aktivitetet profesionale, shkencore dhe teknike",,Kompani e huaj,PRISHTINË,38,640,530,110,270,354,16,58,103,121,140,50,67,30,29,10,15,1,0,1041.29,1201.26,838.05
2023,1,"Aktivitetet profesionale, shkencore dhe teknike",,SH.P.K.,FUSHË KOSOVË,64,272,237,35,182,86,4,18,14,64,41,59,20,21,7,16,4,4,0,516.47,518.43,502.87
2023,1,Aktivitetet e trupave dhe organizatave nderkombetare,,Agjension i Huaj Qeveritar,PEJË,1,164,164,0,89,75,0,3,1,7,4,17,16,34,23,26,31,2,0,962.82,809.58,1144.67
2023,1,Aktivitetet e shendetit te njeriut dhe te punes sociale,,Individual,DEÇAN,10,20,15,5,7,13,0,2,3,2,5,2,1,0,1,1,3,0,0,329.45,400.51,291.19
2023,1,Aktivitetet e shendetit te njeriut dhe te punes sociale,,SH.P.K.,VUSHTRRI,15,54,34,20,16,37,1,0,10,4,15,9,8,2,3,1,1,0,0,246.17,195.3,270.23
2023,1,"Furnizimi me rryme, gaz, avull dhe  ajer te kondicionuar",,SH.P.K.,PRIZREN,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,180,180,
2023,1,"Furnizimi me rryme, gaz, avull dhe  ajer te kondicionuar",,Shoqëri akcionare,MALISHEVË,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,800,800,
2023,1,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,,Individual,ISTOG,80,220,217,3,124,95,1,29,12,38,27,25,20,20,25,11,11,1,0,258.69,264.04,251.27
2023,1,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,,Individual,JUNIK,13,45,45,0,29,16,0,7,1,7,3,12,3,2,5,1,4,0,0,267.16,280.07,244.55
