Sector Description,Registration Status,Municipality,Average Wage Men,Average Wage Women
Transporti dhe magazinimi,Individual,JUNIK,170.0,170.0
Ndertimtaria,Individual,SHTIME,252.14,242.91
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,FUSHË KOSOVË,418.64,258.49
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Kompani e huaj,FUSHË KOSOVË,470.3,306.52
Informimi dhe komunikimi,Individual,PODUJEVË,100.0,196.67
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,MITROVICË,429.01,264.27
Aktivitetet e tjera sherbyese,Individual,SUHAREKË,199.89,231.9
Aktivitetet financiare dhe te sigurimit,Individual,MITROVICË,393.38,250.0
Arsimi,Individual,VITI,165.08,212.33
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,LIPJAN,273.48,222.79
Aktivitetet e tjera sherbyese,SH.P.K.,LIPJAN,170.0,170.0
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,PEJË,355.12,286.82
Bujqesia;Pylltaria dhe Peshkimi,Individual,NOVOBËRDË,175.0,170.0
Person Fizik,Person fizik,VUSHTRRI,353.03,321.84
Aktivitetet e shendetit te njeriut dhe te punes sociale,OJQ,SHTËRPCË,323.81,200.0
Industria nxjerrese,SH.P.K.,ISTOG,204.55,183.0
Sherbimet administrative dhe mbeshtetese,Individual,FUSHË KOSOVË,363.81,500.44
Transporti dhe magazinimi,SH.P.K.,HANI I ELEZIT,507.21,385.97
Person Fizik,Person fizik,KLLOKOT,187.5,183.33
Aktivitetet e tjera sherbyese, Bashkësi Fetare,GJAKOVË,486.05,520.08
Informimi dhe komunikimi,SH.P.K.,GJAKOVË,481.82,345.34
"Furnizimi me rryme, gaz, avull dhe  ajer te kondicionuar",SH.P.K.,FUSHË KOSOVË,487.29,358.18
Person Fizik,Person fizik,MALISHEVË,258.52,275.0
Arsimi,Individual,LIPJAN,170.0,30.0
Industria nxjerrese,SH.P.K.,VITI,485.02,367.16
Informimi dhe komunikimi,SH.P.K.,ISTOG,338.64,371.43
"Aktivitetet profesionale, shkencore dhe teknike",Shoqëri akcionare,OBILIQ,690.31,606.11
Industria perpunuese,Individual,KLINË,204.77,232.6
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,FERIZAJ,255.63,214.49
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,SHTIME,188.0,170.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,MAMUSHË,221.7,212.86
Aktivitetet e tjera sherbyese,Individual,VUSHTRRI,189.79,202.75
