Viti Godina Year,"Muaji 
Mesec
Month","PERSHKRIMI I SEKTORIT
OPIS SEKTORA
SECTOR DESCRIPTION","Statusi i regjistrimit 
Status registracije Registration status",Komuna Opstina Municipality,"Nr Tatimp 
Poreski obveznik 
Number of Taxpayers","Nr Puns
Broj zaposlenih 
Number of  employees",Primar Primarna Primary,Sekondar Sekundarna Secondary,"Meshkuj
Muskarci 
Men (M).","Femra
Zenske
Women (F)","Pa Verif 
Neprovereno 
Unverified",M 15-24,F 15-24,M 25-34,F 25-34,M 35-44,F 35-44,M 45-54,F 45-54,M 55-64,F 55-64,M 65+,F 65+,"Mesat. Pages
Prosecna plata
Average Wage","Mesat. Meshk 
Prosecni M.
Average M.","Mesat. Fem.
Prosecni F. Average F."
2019,1,Ndertimtaria,SH.P.K.,PRISHTINË,359,3649,"3,455",194,2803,646,200,378,101,854,223,758,171,497,115,276,32,40,4,411.43,424.33,357.4
2019,1,Ndertimtaria,Individual,SKENDERAJ,15,118,111,7,103,14,1,23,2,36,3,29,3,8,3,7,3,0,0,269.59,274.26,242.53
2019,1,Mungon aktiviteti,Individual,VITI,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,170,,170
2019,1,Industria nxjerrese,SH.P.K.,PODUJEVË,2,8,8,0,8,0,0,2,0,4,0,1,0,0,0,1,0,0,0,177.5,177.5,
2019,1,Industria perpunuese,Individual,SHTIME,27,84,84,0,67,16,1,18,3,31,7,10,5,5,1,3,0,0,0,229.4,234.57,210.61
2019,1,Industria perpunuese,SH.P.K.,FERIZAJ,158,1712,"1,686",26,1372,317,23,229,51,461,80,321,88,196,77,160,21,5,0,299.81,311.01,241.34
2019,1,Informimi dhe komunikimi,SH.P.K.,SKENDERAJ,2,14,14,0,10,4,0,2,1,3,1,4,2,1,0,0,0,0,0,306.35,345.83,207.65
2019,1,Transporti dhe magazinimi,Ortakëria e përgj.,PRISHTINË,2,61,61,0,55,5,1,2,0,13,1,16,2,17,1,7,1,0,0,223.14,218.36,284.4
2019,1,Aktivitetet e tjera sherbyese, Bashkësi Fetare,DEÇAN,1,2,2,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,246.75,246.75,
2019,1,Akomodimi dhe sherbimi ushqimor,Individual,VITI,25,77,74,3,60,13,4,13,1,32,5,8,2,6,5,1,0,0,0,188.57,164.42,204.23
2019,1,Akomodimi dhe sherbimi ushqimor,Ortakëria e përgj.,LIPJAN,3,10,10,0,8,2,0,5,0,3,1,0,0,0,0,0,1,0,0,178,180,170
2019,1,Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,DRAGASH,2,5,5,0,2,3,0,0,0,0,1,1,1,1,0,0,1,0,0,186,210,170
2019,1,Aktivitetet financiare dhe te sigurimit,OJQ,GJAKOVË,4,29,22,7,19,10,0,0,0,6,4,2,2,4,3,7,1,0,0,421.01,452.98,360.28
2019,1,Sherbimet administrative dhe mbeshtetese,Individual,GJAKOVË,14,36,36,0,25,11,0,3,1,8,4,7,2,6,1,1,3,0,0,237,252.04,202.81
2019,1,Sherbimet administrative dhe mbeshtetese,SH.P.K.,GRAÇANICË,2,6,6,0,4,2,0,0,0,2,0,2,2,0,0,0,0,0,0,333.2,275,449.59
2019,1,"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,SHTIME,2,2,1,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,600,600,
2019,1,Aktivitetet e shendetit te njeriut dhe te punes sociale,Organizata Buxhetore,PRIZREN,1,10,0,10,6,4,0,0,0,0,3,2,1,2,0,2,0,0,0,161.99,162.77,160.82
2019,1,"Furnizimi me rryme, gaz, avull dhe  ajer te kondicionuar",SH.P.K.,PRIZREN,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,180,180,
2019,1,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Organizata Buxhetore,PODUJEVË,1,28,28,0,13,15,0,0,0,2,4,4,6,2,3,4,2,1,0,328.25,301.13,351.75
2019,1,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem, Përfaqësues Fiskal,PRISHTINË,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,100,,100
2019,1,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,VITI,43,398,388,10,321,77,0,51,24,103,29,67,10,72,11,26,3,2,0,270.85,274.11,257.26
2019,2,Arsimi,Organizata Buxhetore,GJAKOVË,1,16,15,1,16,0,0,1,0,4,0,4,0,4,0,3,0,0,0,242.85,242.85,
2019,2,Person Fizik,Person fizik,PRIZREN,142,878,860,18,604,274,0,106,59,209,71,147,74,105,58,33,11,4,1,304.13,316.01,277.95
2019,2,Mungon aktiviteti,Individual,VITI,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,170,,170
2019,2,Mungon aktiviteti,Agjension i Huaj Qeveritar,PRIZREN,1,63,63,0,49,14,0,0,1,12,2,12,3,15,8,10,0,0,0,419.05,418.37,421.43
2019,2,Informimi dhe komunikimi,Individual,PRIZREN,22,52,51,1,37,15,0,6,3,17,5,9,5,3,0,2,2,0,0,228.45,245.25,187
2019,2,Aktivitetet e tjera sherbyese,SH.P.K.,GRAÇANICË,4,84,84,0,60,24,0,19,10,22,9,13,4,5,1,1,0,0,0,331.44,357.51,266.28
2019,2,Aktivitetet e tjera sherbyese,Individual,GRAÇANICË,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,170,170,
2019,2,"Artet, Argetimi dhe rekreacioni",Individual,FERIZAJ,6,15,15,0,7,1,7,0,1,3,0,3,0,0,0,1,0,0,0,209.33,174.29,170
2019,2,"Artet, Argetimi dhe rekreacioni",Individual,KAMENICË,1,2,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,175,175,
2019,2,Aktivitetet financiare dhe te sigurimit,SH.P.K.,MALISHEVË,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,200,,200
2019,2,Aktivitetet financiare dhe te sigurimit,Individual,SKENDERAJ,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,170,170,
2019,2,Sherbimet administrative dhe mbeshtetese,Individual,ISTOG,2,3,3,0,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,260.96,300,182.89
2019,2,Sherbimet administrative dhe mbeshtetese,Individual,GLLOGOC,5,13,13,0,4,9,0,1,3,3,3,0,0,0,3,0,0,0,0,217.23,192.25,228.33
2019,2,Sherbimet administrative dhe mbeshtetese,SH.P.K.,PODUJEVË,9,64,61,3,42,22,0,20,13,13,3,3,5,5,1,1,0,0,0,309.91,275.52,375.56
2019,2,"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,SHTIME,2,2,1,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,600,600,
2019,2,"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,FERIZAJ,71,268,254,14,187,78,3,29,14,73,34,35,18,29,9,21,3,0,0,400.5,464.44,241
2019,2,"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,SHTËRPCË,3,10,9,1,6,4,0,0,0,2,2,2,0,0,1,2,1,0,0,167.38,165.63,170
2019,2,"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,SUHAREKË,22,100,88,12,74,26,0,8,4,36,15,22,4,4,1,4,2,0,0,325.02,327.92,316.78
2019,2,Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,GLLOGOC,3,9,8,1,3,6,0,0,2,1,3,0,1,1,0,1,0,0,0,306.2,500,209.3
2019,2,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,GJILAN,10,125,123,2,103,21,1,6,5,19,11,29,4,30,1,19,0,0,0,241.81,248.43,210.48
2019,2,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Ndërmarrje shoq.,PRISHTINË,1,6,6,0,6,0,0,0,0,3,0,0,0,2,0,1,0,0,0,415.88,415.88,
2019,2,Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,GLLOGOC,1,8,8,0,7,1,0,0,0,0,1,3,0,2,0,2,0,0,0,436.75,460.43,270.94
2019,2,Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,KAÇANIK,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,170,170,
2019,3,Arsimi,Projekt,PRISHTINË,1,7,6,1,4,3,0,0,1,0,1,3,0,1,1,0,0,0,0,1370.2,1702.61,926.98
2019,3,Ndertimtaria,SH.P.K.,DEÇAN,10,122,113,9,100,22,0,20,1,34,6,29,8,13,4,4,3,0,0,435,450.79,363.27
2019,3,Ndertimtaria,Individual,HANI I ELEZIT,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,130,130,
2019,3,Person Fizik,Person fizik,MITROVICË VERIORE,4,12,11,1,10,2,0,1,0,1,1,4,1,1,0,3,0,0,0,529.91,376.04,1299.22
2019,3,Industria nxjerrese,SH.P.K.,FUSHË KOSOVË,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,233.92,233.92,
2019,3,Industria perpunuese,Shoqëri akcionare,ISTOG,2,17,17,0,15,2,0,5,0,8,1,1,1,1,0,0,0,0,0,890.09,938.2,529.25
2019,3,Industria perpunuese,SH.P.K.,GJILAN,103,1460,"1,426",34,1189,265,6,145,33,416,108,264,59,216,55,144,10,4,0,333.11,346.03,276.75
2019,3,Industria perpunuese,Ortakëria e përgj.,LIPJAN,1,14,13,1,14,0,0,0,0,3,0,2,0,6,0,3,0,0,0,235.71,235.71,
2019,3,Industria perpunuese,Ortakëria e përgj.,PRISHTINË,11,87,86,1,45,40,2,8,13,16,10,14,10,7,7,0,0,0,0,315.83,341.97,290.92
2019,3,Industria perpunuese,Ortakëria e përgj.,FUSHË KOSOVË,1,4,4,0,3,1,0,0,0,1,0,2,0,0,1,0,0,0,0,225,216.67,250
2019,3,Informimi dhe komunikimi,Ortakëria e përgj.,MALISHEVË,1,3,2,1,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,152.32,143.48,170
2019,3,Informimi dhe komunikimi,Ortakëria e përgj.,PRISHTINË,4,55,55,0,39,16,0,4,3,20,6,9,3,5,4,1,0,0,0,408.81,438.95,335.34
2019,3,Akomodimi dhe sherbimi ushqimor,SH.P.K.,MALISHEVË,5,15,15,0,12,3,0,4,0,6,2,2,0,0,1,0,0,0,0,194.38,193.81,196.67
2019,3,Akomodimi dhe sherbimi ushqimor,SH.P.K.,FUSHË KOSOVË,33,127,123,4,100,25,2,24,7,47,7,18,7,9,3,2,1,0,0,271.11,261,307.23
2019,3,Aktivitetet financiare dhe te sigurimit,Individual,VITI,4,8,7,1,8,0,0,4,0,3,0,0,0,1,0,0,0,0,0,196.25,196.25,
2019,3,"Aktivitetet profesionale, shkencore dhe teknike",Individual,LEPOSAVIQ,1,3,3,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,200,200,
2019,3,Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,SHTIME,3,14,13,1,3,9,2,0,3,1,4,0,2,2,0,0,0,0,0,312.14,273.33,305.56
2019,3,Aktivitetet e shendetit te njeriut dhe te punes sociale,Kompani e huaj,PRIZREN,1,38,30,8,19,17,2,1,3,4,5,3,6,3,3,5,0,3,0,435.55,503.73,357.03
2019,3,Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,PRISHTINË,199,647,534,113,167,471,9,18,87,52,147,37,102,26,76,20,52,14,7,352.47,557.76,276.93
2019,3,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Individual,SUHAREKË,1,4,3,1,0,4,0,0,2,0,2,0,0,0,0,0,0,0,0,204.68,,204.68
2019,3,Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,FERIZAJ,4,46,42,4,43,3,0,9,0,13,1,14,1,5,1,2,0,0,0,622.72,635.98,432.72
2019,4,Arsimi,Individual,PEJË,20,83,75,8,30,53,0,1,5,9,13,2,14,6,12,11,9,1,0,197.8,184.67,205.23
2019,4,Ndertimtaria,Ndërmarrje shoq.,PRISHTINË,2,3,3,0,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,368.25,371.43,361.9
2019,4,Person Fizik,Person fizik,VITI,30,207,199,8,126,81,0,28,25,46,29,23,17,21,7,8,3,0,0,252.04,244.47,263.81
2019,4,Person Fizik,Person fizik,ISTOG,16,81,74,7,57,24,0,10,5,20,7,16,8,5,2,6,2,0,0,241.68,249.1,224.37
2019,4,Person Fizik,Person fizik,ZUBIN POTOK,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1000,,1000
2019,4,Mungon aktiviteti,OJQ,MITROVICË VERIORE,6,43,36,7,24,17,2,6,5,7,5,7,3,2,4,2,0,0,0,464.58,476.34,433.75
2019,4,Industria perpunuese,Individual,PARTESH,5,16,16,0,13,3,0,2,0,2,3,7,0,2,0,0,0,0,0,201.25,198.46,213.33
2019,4,Transporti dhe magazinimi,Individual,GJILAN,21,80,78,2,72,7,1,8,1,13,3,17,3,20,0,13,0,1,0,183.16,184.23,155.71
2019,4,Transporti dhe magazinimi,SH.P.K.,MALISHEVË,1,2,2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,400,400,
2019,4,Aktivitetet e patundshmerise,Individual,VUSHTRRI,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,200,,200
2019,4,Aktivitetet e tjera sherbyese, Bashkësi Fetare,DEÇAN,1,2,2,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,246.75,246.75,
2019,4,Akomodimi dhe sherbimi ushqimor,Individual,VITI,25,77,76,1,60,13,4,14,1,31,5,10,2,4,5,1,0,0,0,195.71,172.75,208.08
2019,4,Akomodimi dhe sherbimi ushqimor,Ortakëria e përgj.,PRISHTINË,8,61,61,0,40,21,0,17,2,15,7,5,7,3,5,0,0,0,0,242.72,233.15,260.95
2019,4,"Artet, Argetimi dhe rekreacioni",Individual,KLINË,1,12,12,0,8,4,0,0,0,1,0,3,1,3,2,1,1,0,0,295.54,343.31,200
2019,4,Aktivitetet financiare dhe te sigurimit,OJQ,PEJË,2,217,215,2,155,62,0,11,6,81,44,40,5,18,4,5,2,0,1,858.56,920.42,704.88
2019,4,Aktivitetet financiare dhe te sigurimit,Individual,PEJË,3,3,3,0,2,1,0,0,0,1,1,0,0,1,0,0,0,0,0,232.72,185,328.15
2019,4,Aktivitetet financiare dhe te sigurimit,OJQ,KLINË,1,8,8,0,3,5,0,0,1,1,1,1,1,1,1,0,1,0,0,315.39,466.67,224.62
2019,4,Aktivitetet financiare dhe te sigurimit,Individual,RAHOVEC,2,4,4,0,2,2,0,0,1,2,0,0,0,0,1,0,0,0,0,203.94,207.88,200
2019,4,Sherbimet administrative dhe mbeshtetese,Shoqëri akcionare,PEJË,1,39,36,3,31,8,0,1,0,2,2,4,2,11,1,13,3,0,0,261.92,262.26,260.63
2019,4,"Aktivitetet profesionale, shkencore dhe teknike",Individual,OBILIQ,3,5,5,0,4,1,0,0,0,3,1,1,0,0,0,0,0,0,0,189.63,199.54,150
2019,4,"Aktivitetet profesionale, shkencore dhe teknike", Konsorcium,MITROVICË,1,6,5,1,4,1,1,0,1,1,0,3,0,0,0,0,0,0,0,1704,853,170
