Sector Description,Registration Status,Municipality,Average Wage Men,Average Wage Women
Industria perpunuese,Shoqëri akcionare,GJILAN,429.44,580.0
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,RAHOVEC,376.0,329.47
"Artet, Argetimi dhe rekreacioni",SH.P.K.,KLINË,143.33,130.0
Arsimi,Individual,PRIZREN,171.16,213.12
Arsimi,Individual,MALISHEVË,232.4,232.75
Industria perpunuese,Individual,PARTESH,199.38,208.0
Ndertimtaria,SH.P.K.,SUHAREKË,457.76,369.62
Industria nxjerrese,SH.P.K.,SHTIME,435.03,466.87
Aktivitetet e patundshmerise,SH.P.K.,MITROVICË,593.75,334.95
Akomodimi dhe sherbimi ushqimor,Ortakëria e përgj.,PEJË,295.21,318.65
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,Shoqëri akcionare,MITROVICË,462.53,510.78
Ndertimtaria,Individual,SUHAREKË,305.68,259.33
Ndertimtaria,SH.P.K.,MITROVICË VERIORE,311.57,300.0
Sherbimet administrative dhe mbeshtetese,Individual,MITROVICË,336.39,272.88
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,VUSHTRRI,248.41,180.22
Industria perpunuese,Individual,SUHAREKË,261.55,221.37
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Organizata Buxhetore,PEJË,453.79,476.45
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,SUHAREKË,531.33,351.86
Informimi dhe komunikimi,Ortakëria e përgj.,PRISHTINË,474.48,460.62
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,SKENDERAJ,281.2,207.8
Ndertimtaria,SH.P.K.,MALISHEVË,358.29,295.42
Industria perpunuese,Individual,VUSHTRRI,234.08,193.21
Sherbimet administrative dhe mbeshtetese,Kompani e huaj,GLLOGOC,262.98,203.37
Sherbimet administrative dhe mbeshtetese,SH.P.K.,PEJË,532.72,325.44
"Artet, Argetimi dhe rekreacioni",Shoqëri akcionare,MITROVICË,370.54,364.47
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,VITI,361.69,276.65
Informimi dhe komunikimi,SH.P.K.,SHTËRPCË,506.84,280.96
Aktivitetet e shendetit te njeriut dhe te punes sociale,Ortakëria e përgj.,PRISHTINË,442.41,403.41
